category,total_revenue,total_orders,avg_order_value,avg_review_score,late_rate_pct,avg_delivery_days
health_beauty,1446622.08,8836,148.72,4.14,9.1,11.5
watches_gifts,1306761.4,5624,217.76,4.02,8.3,12.2
bed_bath_table,1258189.51,9417,111.64,3.9,8.4,12.3
sports_leisure,1163329.98,7720,133.72,4.11,7.4,11.7
computers_accessories,1068070.48,6689,135.3,3.93,7.7,12.8
furniture_decor,910683.05,6449,108.22,3.9,8.4,12.4
housewares,781170.03,5884,111.77,4.06,6.5,10.5
cool_stuff,721492.9,3632,189.57,4.15,6.8,11.9
auto,687374.19,3897,161.51,4.07,8.3,11.8
garden_tools,585646.54,3518,134.29,4.04,8.0,13.2
toys,562310.57,3886,136.32,4.16,7.5,11.2
baby,480647.26,2885,156.41,4.01,8.8,12.1
perfumery,454664.54,3162,132.36,4.16,7.3,11.3
telephony,395190.98,4199,86.86,3.95,8.3,12.4
office_furniture,344082.76,1273,202.28,3.49,8.9,20.4
stationery,278224.15,2311,110.19,4.19,8.1,12.3
pet_shop,254190.79,1710,130.42,4.19,6.1,10.8
computers,232799.43,181,1146.8,4.17,6.5,13.1
uncategorized,214588.51,2248,131.17,3.16,9.3,12.3
musical_instruments,210173.23,628,308.62,4.15,8.6,12.5
small_appliances,207736.19,630,304.15,4.15,5.9,10.4
electronics,206989.23,2550,74.78,4.04,9.7,12.4
fashion_bags_accessories,185436.22,1864,90.46,4.14,6.3,10.6
consoles_games,177844.54,1062,156.28,4.02,7.8,13.1
luggage_accessories,170875.21,1034,156.48,4.32,5.4,10.2
