year_month,total_orders,delivered_orders,late_orders,late_rate_pct
2016-09,3,3,3,100.0
2016-10,317,317,3,0.9
2016-12,1,1,0,0.0
2017-01,924,924,26,2.8
2017-02,1869,1869,62,3.3
2017-03,2917,2917,163,5.6
2017-04,2577,2577,194,7.5
2017-05,4048,4048,151,3.7
2017-06,3524,3524,132,3.7
2017-07,4460,4460,163,3.7
2017-08,4851,4851,153,3.2
2017-09,4771,4771,243,5.1
2017-10,5256,5256,264,5.0
2017-11,8537,8537,1178,13.8
2017-12,6214,6214,508,8.2
2018-01,8088,8088,528,6.5
2018-02,7617,7617,1197,15.7
2018-03,8064,8064,1649,20.4
2018-04,7838,7838,376,4.8
2018-05,7819,7819,624,8.0
2018-06,7016,7016,94,1.3
2018-07,6985,6985,304,4.4
2018-08,7144,7144,740,10.4
