seller_id,total_orders,delivered_orders,late_orders,on_time_rate,avg_review_score,low_review_pct,avg_delivery_days,composite_score
821fb029fc6e495ca4f08a35d51e53a5,28,24,9,62.5,3.43,32.1,16.0,66.02
02dcd3e8e25bee036e32512bcf175493,14,13,4,69.2,3.32,42.1,17.6,65.83
cb41bfbcbda0aea354a834ab222f9a59,12,11,4,63.6,3.33,33.3,37.0,65.43
2a1348e9addc1af5aaa619b1a3679d6b,52,48,13,72.9,3.0,40.7,26.8,65.03
a49928bcdf77c55c6d6e05e09a9b4ca5,98,96,25,74.0,2.95,43.4,16.5,64.5
2709af9587499e95e803a6498a5a56e9,26,25,3,88.0,2.57,58.7,11.9,64.02
ad781527c93d00d89a11eecd9dcad7c1,44,38,12,68.4,3.07,40.9,25.0,63.75
e64d65bc8dbec2accda90c58de5d1246,12,12,4,66.7,3.08,41.7,13.0,62.97
d9e7e7778b32987280a6f2cb9a39c57d,11,11,4,63.6,3.15,38.5,18.5,62.95
40db9e9aa57f7bb151bcda6b0f9bdbb7,12,12,1,91.7,2.36,63.6,14.4,62.83
54965bbe3e4f07ae045b90b0b8541f52,78,73,22,69.9,2.94,45.7,26.2,62.33
cb5df0dcb9e280b1780e9d589889f2c7,16,11,2,81.8,2.56,55.6,20.2,62.09
ec4608a1f76453166bb312b2968aeaf4,18,17,4,76.5,2.69,51.4,13.6,61.83
ecccfa2bb93b34a3bf033cc5d1dcdc69,15,12,2,83.3,2.33,55.6,34.6,60.85
26e2c91ef821e1ff8985f408788fe35b,12,12,5,58.3,3.0,35.7,24.5,60.19
02d35243ea2e497335cd0f076b45675d,14,14,5,64.3,2.69,37.5,25.4,59.73
b19f3ca2ea475913750f25a5c37c8d8f,24,19,6,68.4,2.79,50.0,18.0,59.69
5bc55dbe2f12b6af6d83ed46023e0dc8,17,17,4,76.5,2.33,57.1,12.5,57.81
1ca7077d890b907f89be8c954a02686a,115,108,24,77.8,2.2,65.4,14.5,55.63
b1b3948701c5c72445495bd161b83a4c,18,14,9,35.7,1.72,77.8,22.9,32.49
